poly_ID,monoA,monoB,poly_SMI,EA,IP
0_0,OB(O)c1cc(F)c(B(O)O)cc1F,Oc1cc(O)c(Br)c(O)c1Br,Fc1ccc(F)cc1.Oc1cc(O)cc(O)c1,-3.406210313,1.808017428
0_1,OB(O)c1cc(F)c(B(O)O)cc1F,N#Cc1cc(Br)c(F)cc1Br,Fc1ccc(F)cc1.N#Cc1ccc(F)cc1,-2.472684837,2.635116064
0_2,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1c(Cl)cc(Br)c(N)c1Br,Fc1ccc(F)cc1.Cc1cc(N)ccc1Cl,-3.459587852,1.454939624
0_3,OB(O)c1cc(F)c(B(O)O)cc1F,O=C(Cl)COc1ccc(Br)cc1Br,Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,-2.842111936,2.066125731
0_4,OB(O)c1cc(F)c(B(O)O)cc1F,COC(=O)c1nc(N)c(Br)cc1Br,Fc1ccc(F)cc1.COC(=O)c1cccc(N)n1,-2.724311528,1.75754206
0_5,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1nc(Br)c2ccccc2n1,Fc1ccc(F)cc1.c1ccc2ncncc2c1,-2.113290449,2.314048969
0_6,OB(O)c1cc(F)c(B(O)O)cc1F,O=Cc1c(F)cc(Br)cc1Br,Fc1ccc(F)cc1.O=Cc1ccccc1F,-2.040702699,2.567400322
0_7,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1cc(Br)c(Cl)cc1Br,Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,-3.157066147,2.404878218
0_8,OB(O)c1cc(F)c(B(O)O)cc1F,COC(=O)c1nc(Br)ccc1Br,Fc1ccc(F)cc1.COC(=O)c1ccccn1,-2.403640994,2.476099597
0_9,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1ccc2c3ccc(Br)cc3n(-c3ccccc3)c2c1,Fc1ccc(F)cc1.c1ccc(-n2c3ccccc3c3ccccc32)cc1,-3.098080499,1.348122951
0_10,OB(O)c1cc(F)c(B(O)O)cc1F,CCOC(=O)c1nc(Br)cnc1Br,Fc1ccc(F)cc1.CCOC(=O)c1cnccn1,-1.921555682,2.426855996
0_11,OB(O)c1cc(F)c(B(O)O)cc1F,Nc1c(Br)cc(C(F)(F)F)nc1Br,Fc1ccc(F)cc1.Nc1ccc(C(F)(F)F)nc1,-2.869941,1.715113399
0_12,OB(O)c1cc(F)c(B(O)O)cc1F,CC1(C)C(=O)Nc2c(Br)cc(Br)cc21,Fc1ccc(F)cc1.CC1(C)C(=O)Nc2ccccc21,-3.102120542,1.844224706
0_13,OB(O)c1cc(F)c(B(O)O)cc1F,CC(=O)Nc1cc(Br)cc(Br)c1,Fc1ccc(F)cc1.CC(=O)Nc1ccccc1,-3.147905424,2.006546114
0_14,OB(O)c1cc(F)c(B(O)O)cc1F,O=C(Nc1cc(Br)ccc1Br)c1ccccc1,Fc1ccc(F)cc1.O=C(Nc1ccccc1)c1ccccc1,-2.952621558,1.986674313
0_15,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1ccc(Br)c2sc(-c3ccccc3)nc12,Fc1ccc(F)cc1.c1ccc(-c2nc3ccccc3s2)cc1,-2.481356555,1.892204341
0_16,OB(O)c1cc(F)c(B(O)O)cc1F,COc1cc(Br)cc(Br)c1,Fc1ccc(F)cc1.COc1ccccc1,-3.156966778,1.986973013
0_17,OB(O)c1cc(F)c(B(O)O)cc1F,OCc1ncc(Br)cc1Br,Fc1ccc(F)cc1.OCc1ccccn1,-2.948835089,2.300451505
0_18,OB(O)c1cc(F)c(B(O)O)cc1F,O=C(Cl)c1cc(Br)cc(Br)c1,Fc1ccc(F)cc1.O=C(Cl)c1ccccc1,-2.056503746,2.704185552
0_19,OB(O)c1cc(F)c(B(O)O)cc1F,Cc1sc(Br)nc1Br,Fc1ccc(F)cc1.Cc1cncs1,-2.514267369,1.745264567
0_20,OB(O)c1cc(F)c(B(O)O)cc1F,CC(C)(C)c1cc2ccc3c(Br)cc(Br)c4ccc(c1)c2c34,Fc1ccc(F)cc1.CC(C)(C)c1cc2ccc3cccc4ccc(c1)c2c34,-2.501885313,1.439155616
0_21,OB(O)c1cc(F)c(B(O)O)cc1F,Brc1cc(Br)c2cn[nH]c2c1,Fc1ccc(F)cc1.c1ccc2[nH]ncc2c1,-2.929335183,1.797564241
0_22,OB(O)c1cc(F)c(B(O)O)cc1F,O=C(c1ccc(Br)cc1)c1ccc(Br)cc1,Fc1ccc(F)cc1.O=C(c1ccccc1)c1ccccc1,-2.254818759,2.348844304
0_23,OB(O)c1cc(F)c(B(O)O)cc1F,O=[N+]([O-])c1ccc(Br)cc1Br,Fc1ccc(F)cc1.O=[N+]([O-])c1ccccc1,-1.729377126,2.784075356
0_24,OB(O)c1cc(F)c(B(O)O)cc1F,O=c1cc(Br)[nH]c(Br)c1,Fc1ccc(F)cc1.O=c1cc[nH]cc1,-2.623690981,1.942375953
0_25,OB(O)c1cc(F)c(B(O)O)cc1F,O=[N+]([O-])c1c(Br)cccc1Br,Fc1ccc(F)cc1.O=[N+]([O-])c1ccccc1,-1.875607096,2.795272716
