poly_ID,poly_SMI,dimer,quadmer,octamer,EA,IP
0_0,Fc1ccc(F)cc1.Oc1cc(O)cc(O)c1,Oc1cc(O)c(-c2cc(F)ccc2F)c(O)c1,Oc1cc(O)c(-c2cc(F)c(-c3c(O)cc(O)c(-c4cc(F)ccc4F)c3O)cc2F)c(O)c1,Oc1cc(O)c(-c2cc(F)c(-c3c(O)cc(O)c(-c4cc(F)c(-c5c(O)cc(O)c(-c6cc(F)c(-c7c(O)cc(O)c(-c8cc(F)ccc8F)c7O)cc6F)c5O)cc4F)c3O)cc2F)c(O)c1,-3.406210313,1.808017428
0_1,Fc1ccc(F)cc1.N#Cc1ccc(F)cc1,N#Cc1ccc(F)c(-c2cc(F)ccc2F)c1,N#Cc1ccc(F)c(-c2cc(F)c(-c3cc(F)c(-c4cc(F)ccc4F)cc3C#N)cc2F)c1,N#Cc1ccc(F)c(-c2cc(F)c(-c3cc(F)c(-c4cc(F)c(-c5cc(F)c(-c6cc(F)c(-c7cc(F)c(-c8cc(F)ccc8F)cc7C#N)cc6F)cc5C#N)cc4F)cc3C#N)cc2F)c1,-2.472684837,2.635116064
0_2,Fc1ccc(F)cc1.Cc1cc(N)ccc1Cl,Cc1c(Cl)ccc(N)c1-c1cc(F)ccc1F,Cc1c(Cl)ccc(N)c1-c1cc(F)c(-c2cc(Cl)c(C)c(-c3cc(F)ccc3F)c2N)cc1F,Cc1c(Cl)ccc(N)c1-c1cc(F)c(-c2cc(Cl)c(C)c(-c3cc(F)c(-c4cc(Cl)c(C)c(-c5cc(F)c(-c6cc(Cl)c(C)c(-c7cc(F)ccc7F)c6N)cc5F)c4N)cc3F)c2N)cc1F,-3.459587852,1.454939624
0_3,Fc1ccc(F)cc1.O=C(Cl)COc1ccccc1,O=C(Cl)COc1ccc(-c2cc(F)ccc2F)cc1,O=C(Cl)COc1ccc(-c2cc(F)c(-c3cc(-c4cc(F)ccc4F)ccc3OCC(=O)Cl)cc2F)cc1,O=C(Cl)COc1ccc(-c2cc(F)c(-c3cc(-c4cc(F)c(-c5cc(-c6cc(F)c(-c7cc(-c8cc(F)ccc8F)ccc7OCC(=O)Cl)cc6F)ccc5OCC(=O)Cl)cc4F)ccc3OCC(=O)Cl)cc2F)cc1,-2.842111936,2.066125731
0_4,Fc1ccc(F)cc1.COC(=O)c1cccc(N)n1,COC(=O)c1nc(N)ccc1-c1cc(F)ccc1F,COC(=O)c1nc(N)ccc1-c1cc(F)c(-c2cc(-c3cc(F)ccc3F)c(C(=O)OC)nc2N)cc1F,COC(=O)c1nc(N)ccc1-c1cc(F)c(-c2cc(-c3cc(F)c(-c4cc(-c5cc(F)c(-c6cc(-c7cc(F)ccc7F)c(C(=O)OC)nc6N)cc5F)c(C(=O)OC)nc4N)cc3F)c(C(=O)OC)nc2N)cc1F,-2.724311528,1.75754206
0_5,Fc1ccc(F)cc1.c1ccc2ncncc2c1,Fc1ccc(F)c(-c2ncc3ccccc3n2)c1,Fc1ccc(F)c(-c2nc(-c3cc(F)c(-c4ncc5ccccc5n4)cc3F)c3ccccc3n2)c1,Fc1ccc(F)c(-c2nc(-c3cc(F)c(-c4nc(-c5cc(F)c(-c6nc(-c7cc(F)c(-c8ncc9ccccc9n8)cc7F)c7ccccc7n6)cc5F)c5ccccc5n4)cc3F)c3ccccc3n2)c1,-2.113290449,2.314048969
0_6,Fc1ccc(F)cc1.O=Cc1ccccc1F,O=Cc1c(F)cccc1-c1cc(F)ccc1F,O=Cc1c(F)cccc1-c1cc(F)c(-c2cc(F)c(C=O)c(-c3cc(F)ccc3F)c2)cc1F,O=Cc1c(F)cccc1-c1cc(F)c(-c2cc(F)c(C=O)c(-c3cc(F)c(-c4cc(F)c(C=O)c(-c5cc(F)c(-c6cc(F)c(C=O)c(-c7cc(F)ccc7F)c6)cc5F)c4)cc3F)c2)cc1F,-2.040702699,2.567400322
0_7,Fc1ccc(F)cc1.Cc1ccc(Cl)cc1,Cc1ccc(Cl)c(-c2cc(F)ccc2F)c1,Cc1ccc(Cl)c(-c2cc(F)c(-c3cc(Cl)c(-c4cc(F)ccc4F)cc3C)cc2F)c1,Cc1ccc(Cl)c(-c2cc(F)c(-c3cc(Cl)c(-c4cc(F)c(-c5cc(Cl)c(-c6cc(F)c(-c7cc(Cl)c(-c8cc(F)ccc8F)cc7C)cc6F)cc5C)cc4F)cc3C)cc2F)c1,-3.157066147,2.404878218
0_8,Fc1ccc(F)cc1.COC(=O)c1ccccn1,COC(=O)c1cccc(-c2cc(F)ccc2F)n1,COC(=O)c1cccc(-c2cc(F)c(-c3ccc(-c4cc(F)ccc4F)nc3C(=O)OC)cc2F)n1,COC(=O)c1cccc(-c2cc(F)c(-c3ccc(-c4cc(F)c(-c5ccc(-c6cc(F)c(-c7ccc(-c8cc(F)ccc8F)nc7C(=O)OC)cc6F)nc5C(=O)OC)cc4F)nc3C(=O)OC)cc2F)n1,-2.403640994,2.476099597
0_9,Fc1ccc(F)cc1.c1ccc(-n2c3ccccc3c3ccccc32)cc1,Fc1ccc(F)c(-c2ccc3c4ccccc4n(-c4ccccc4)c3c2)c1,Fc1ccc(F)c(-c2ccc3c4ccc(-c5cc(F)c(-c6ccc7c8ccccc8n(-c8ccccc8)c7c6)cc5F)cc4n(-c4ccccc4)c3c2)c1,Fc1ccc(F)c(-c2ccc3c4ccc(-c5cc(F)c(-c6ccc7c8ccc(-c9cc(F)c(-c%10ccc%11c%12ccc(-c%13cc(F)c(-c%14ccc%15c%16ccccc%16n(-c%16ccccc%16)c%15c%14)cc%13F)cc%12n(-c%12ccccc%12)c%11c%10)cc9F)cc8n(-c8ccccc8)c7c6)cc5F)cc4n(-c4ccccc4)c3c2)c1,-3.098080499,1.348122951
0_10,Fc1ccc(F)cc1.CCOC(=O)c1cnccn1,CCOC(=O)c1nccnc1-c1cc(F)ccc1F,CCOC(=O)c1nccnc1-c1cc(F)c(-c2cnc(-c3cc(F)ccc3F)c(C(=O)OCC)n2)cc1F,CCOC(=O)c1nccnc1-c1cc(F)c(-c2cnc(-c3cc(F)c(-c4cnc(-c5cc(F)c(-c6cnc(-c7cc(F)ccc7F)c(C(=O)OCC)n6)cc5F)c(C(=O)OCC)n4)cc3F)c(C(=O)OCC)n2)cc1F,-1.921555682,2.426855996
0_11,Fc1ccc(F)cc1.Nc1ccc(C(F)(F)F)nc1,Nc1ccc(C(F)(F)F)nc1-c1cc(F)ccc1F,Nc1ccc(C(F)(F)F)nc1-c1cc(F)c(-c2cc(C(F)(F)F)nc(-c3cc(F)ccc3F)c2N)cc1F,Nc1ccc(C(F)(F)F)nc1-c1cc(F)c(-c2cc(C(F)(F)F)nc(-c3cc(F)c(-c4cc(C(F)(F)F)nc(-c5cc(F)c(-c6cc(C(F)(F)F)nc(-c7cc(F)ccc7F)c6N)cc5F)c4N)cc3F)c2N)cc1F,-2.869941,1.715113399
0_12,Fc1ccc(F)cc1.CC1(C)C(=O)Nc2ccccc21,CC1(C)C(=O)Nc2c(-c3cc(F)ccc3F)cccc21,CC1(C)C(=O)Nc2c(-c3cc(F)c(-c4cc(-c5cc(F)ccc5F)c5c(c4)C(C)(C)C(=O)N5)cc3F)cccc21,CC1(C)C(=O)Nc2c(-c3cc(F)c(-c4cc(-c5cc(F)c(-c6cc(-c7cc(F)c(-c8cc(-c9cc(F)ccc9F)c9c(c8)C(C)(C)C(=O)N9)cc7F)c7c(c6)C(C)(C)C(=O)N7)cc5F)c5c(c4)C(C)(C)C(=O)N5)cc3F)cccc21,-3.102120542,1.844224706
0_13,Fc1ccc(F)cc1.CC(=O)Nc1ccccc1,CC(=O)Nc1cccc(-c2cc(F)ccc2F)c1,CC(=O)Nc1cccc(-c2cc(F)c(-c3cc(NC(C)=O)cc(-c4cc(F)ccc4F)c3)cc2F)c1,CC(=O)Nc1cccc(-c2cc(F)c(-c3cc(NC(C)=O)cc(-c4cc(F)c(-c5cc(NC(C)=O)cc(-c6cc(F)c(-c7cc(NC(C)=O)cc(-c8cc(F)ccc8F)c7)cc6F)c5)cc4F)c3)cc2F)c1,-3.147905424,2.006546114
